a gay	a salad tosser
abacus	chink calculator
abbreviate	shortamake
abbreviation	shortamake
abdomen	stomik
abdominal	abdomininable
abduct	kinnap
abilities	skeelz
ability	skeel
abnormal	fukt
abominable	fukt
abort	stawp
abortion	induced termination of pregnancy before the fetus can survive
about	bout
above	ontop
abracadabra	abacadaba
abrupt	real sudden like
absent	not dere
absolut	vodka
absolute	total
abstemious	showing moderation abstemiously
abstract	whack
absurd	stoopid
abundance	lots
abuse	whack up
abused	whacked up
abyss	deep crack
academy	whitey skoo
accelerate	go fasta
accelerated	went fasta
accelerating	goin fasta
accent	lisp
accept	assept
acceptable	asseptabul
acceptance	asseptince
accessories	assessorees
accessory	partna in cryme
accident	"assident"
accomplice	partna in cryme
accordian	white mans rap
account	munny hold
accurate	rite
acquire	teef
acquired	teefed
action	deth
addict	crackhead
addicts	crackheads
address	crib numba
adjective	w0rd
adjust	break
adjusted	broked
adjusting	breaking
admit	confess
adopt	kinnap
adopted	kinnaped
adopting	kinnaping
adultery	sex wit da wife
advice	niggaspeak
advocate	lawya
afford	steal
afraid	fraid
africa	da mudda land
again	twotime
agency	gang
agent	fed
agreement	deel
aids	da sex shiet
air	wind
aircraft	flyin shiyat
aircrafts	flyin shiyats
alcohol	intoxicatin liqour
alimony	cost o luv
all	alls
alley	place o beats
almost	not quite
alphabet	letturz
alright	aite
alrite	aite
am	be
amateur	whack
ambulance	deth-mobile
ambush	gang jump
ambushed	jumped
america	land o da free shiyat
american	afro-american
amigo	homie
ammo	caps
ammunition	ammo
amory	gunshak
amoury	gunshak
an	a
and	an'
angry	pist
answer	ansa
antelope	swift running mammal
anthem	hymn
antiques	ol shiet
anti-semite	kike-hater
anton	Fatass
any	allz
anyway	anyways
appeal	last chance
appealed	tried fo da last time
appeared	popped up
approve	good stamp
approved	good stamped
are	is
arena	deth box
armies	gangs
army	uncle sam's gang
aroma	stank
arrest	nigga catch
arrested	nigga caught
arresting	nigga catchin
artificial	whack
artillery	big gats
artist	poor nigga
artwork	teefables
as	like
asexual	fag
ashtray	jointbox
asian	chink
ask	aks
asked	aksed
asleep	a target
ass	rectum
assasin	killa
assasins	killas
assault	beat
assaulted	beated
assaulting	beatin
assist	help
astronaut	spacewhitey
asylum	whack nigga hole
ate	munched
athlete	nigga
attain	git
attained	got
attorney	nigga protecta
auction	slave sale
auctioneer	slave trader
auctioning	slave trading
auctions	slave sales
audio	rap
automobile	wheels
automobiles	wheels
autopsy	body check
avenue	skreet
avenues	skreets
away	dispeared
babies	shorties
baby	shorty
babys	shorties
back	backside
backhand	smack
backpack	teefpak
bad	whack
baggage	thiefables
bail	drug money
bailiff	whitey bounca'
bailiffs	whitey bounca's
bait	lure
bake	foodamake
baking	foodamakin
balconies	nigga backyards
balcony	nigga backyard
bald	shiny cueball
ball	rock
balloon	bubble
balls	nutz
banana	monkey food
bananas	monkey food
bandage	quicker thicker fixer upper
bandages	quicker thicker fixer uppers
band-aid	bloodcap
band-aids	bloodcaps
bandit	gangsta
bandits	gangstas
bank	one stawp cryme shawp
barbarian	nigga
barbarians	niggas
barbeque	BBQ
barbeques	BBQs
barber	fro choppa
barbers	fro choppas
bare	nekkid
bareback	nekkid
barf	puke
bargain	tiefable
bargains	tiefables
baseball	whiteyball
basement	place o bidniss
bash	smack
bashed	smaked
bashing	smakin
basketball	b-ball
bastard	basturd
bat	stick
bathroom	bafroom
battle	gang fight
battled	fighted
battles	gang fights
bawd	ho
bayonet	impalin stik
beach	hunny huntin grounds
beaches	hunny huntin grounds
beard	face fro
bearded	face fro'd
beards	face fros
became	came be
because	cuz
become	come be
bee	stingin bitch
beer	firewater
beg	cry
begged	cryd
begging	cryin
belief	beeleef
believe	beeleef
believed	beeleefed
bell	dingdong
bells	dingdongs
belly	stomak
best	bestest
better	best
beverage	firewadda
beware	be fraid
bible	goo' book
big	biggy
bilingual	twotalkin
bingo	fogieball
bird	flyin meal
birds	flyin meals
birth	berf
birthday	berfday
bitch	biatch
bj	hoodsuck
black	ebony
blackout	nigga's oppatunity
blade	cuttah
blank	empty
blast	fart
blasting	fartin
blasts	fartz
bleeding	spurtin red shiyat
blind	target
blood	red shit
blowjob	hoodsuck
blue	wadda like
bluff	lie
boar	meal on wheels
bobsled	niggamobile
bodyguard	protecta
book	readz
books	readzez
boot	footcap
born	berfed
boulder	biggarock
bourbon	firewadda
bout	brawl
boutique	sto
bovine	cowalike
box	square
boxed	squared
boy	shorty
boys	shortys
brain	hed
brawl	tussle
bread	eats
breakfast	meal on wheels
breakfasts	meals on wheels
breast	titty
breasts	titties
brian	Gumbo
bribe	payoff
bribes	payoffs
bride	cashleech
briefcase	drugcase
brittle	bustable
brochure	pamflit
broken	busted
brother	brutha
brothers	bruthas
brunch	white mans eats
bullet	cap
bum	ass
business	bidniss
butt	ass
buy	steal
camera	nigga-detecta
canada	last stop on da undaground railroad
car	wheels
carefully	wit da skills
chemical	chemo shiyat
chemicals	chemo shiyatz
child	shorty
children	shorties
cocaine	crack
come	cum
commit	do
commited	did
commiting	doin
communication	talkin
communications	shoutins
